Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0144575875
2	3	0	0.028915175
3	3	0	0.0433727625
4	4	0	0.05783035
5	4	0	0.0722879375
6	5	0	0.086745525
7	5	0	0.101203112
8	6	0	0.1156607
9	6	0	0.130118287
10	7	0	0.144575875
11	7	0	0.159033462
12	8	0	0.17349105
13	8	0	0.187948637
14	9	0	0.202406225
15	9	0	0.216863812
16	9	0	0.2313214
17	10	0	0.245778987
18	10	0	0.260236575
19	11	0	0.274694162
20	11	0	0.28915175
21	12	0	0.303609337
22	12	0	0.318066925
23	13	0	0.332524512
24	13	0	0.3469821
25	14	0	0.361439687
26	15	0	0.375897275
27	15	0	0.390354862
28	16	0	0.40481245
29	16	0	0.419270037
30	17	0	0.433727625
31	17	0	0.448185212
32	18	0	0.4626428
33	18	0	0.477100387
34	19	0	0.491557975
35	19	0	0.506015562
36	20	0	0.52047315
37	20	0	0.534930737
38	21	0	0.549388325
39	21	0	0.563845912
40	22	0	0.5783035
41	23	0	0.592761087
42	23	0	0.607218675
43	24	0	0.621676262
44	24	0	0.63613385
45	25	0	0.650591437
46	25	0	0.665049025
47	26	0	0.679506612
48	26	0	0.6939642
49	27	0	0.708421787
50	27	0	0.722879375
51	28	0	0.737336962
52	29	0	0.75179455
53	29	0	0.766252137
54	30	0	0.780709725
55	30	0	0.795167312
56	31	0	0.8096249
57	32	0	0.824082487
58	32	0	0.838540075
59	33	0	0.852997662
60	33	0	0.86745525
61	34	0	0.881912837
62	34	0	0.896370425
63	35	0	0.910828012
64	36	0	0.9252856
65	36	0	0.939743187
66	37	0	0.954200775
67	37	0	0.968658362
68	38	0	0.98311595
69	38	0	0.997573537
70	39	0	1.01203112
