Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0144575875	101324.941	101324.941	101324.941	101324.941	0	0	0	0	1364.68	0	0	3
2	3	0	0.028915175	101324.976	101324.959	101324.941	101324.976	0.0171775698	0	0	0	1641.2	0	0	3
3	3	0	0.0433727625	101324.995	101324.971	101324.941	101324.995	0.0292465576	0	0	0	1662.25	0	0	3
4	4	0	0.05783035	101325.001	101324.978	101324.941	101325.001	0.036703631	0	0	0	1564.13	0	0	3
5	4	0	0.0722879375	101325.005	101324.984	101324.941	101325.005	0.042164613	0	0	0	1403.91	0	0	3
6	5	0	0.086745525	101325.007	101324.987	101324.941	101325.007	0.0459834284	0	0	0	1309.29	0	0	3
7	5	0	0.101203112	101325.014	101324.991	101324.941	101325.014	0.0497480194	0	0	0	1224.62	0	0	3
8	6	0	0.1156607	101325.014	101324.994	101324.941	101325.014	0.0526521972	0	0	0	1124.61	0	0	3
9	6	0	0.130118287	101325.018	101324.997	101324.941	101325.018	0.0552522169	0	0	0	1013.81	0	0	3
10	7	0	0.144575875	101325.016	101324.999	101324.941	101325.018	0.0571386347	0	0	0	905.425	0	0	3
11	7	0	0.159033462	101325.018	101325	101324.941	101325.018	0.0588850741	0	0	0	822.998	0	0	3
12	8	0	0.17349105	101325.017	101325.002	101324.941	101325.018	0.0602609189	0	0	0	737.27	0	0	3
13	8	0	0.187948637	101325.018	101325.003	101324.941	101325.018	0.0615025467	0	0	0	652.446	0	0	3
14	9	0	0.202406225	101325.017	101325.004	101324.941	101325.018	0.0625143578	0	0	0	573.29	0	0	3
15	9	0	0.216863812	101325.018	101325.005	101324.941	101325.018	0.0634649851	0	0	0	502.08	0	0	3
16	9	0	0.2313214	101325.019	101325.006	101324.941	101325.019	0.0643711987	0	0	0	456.363	0	0	3
17	10	0	0.245778987	101325.019	101325.007	101324.941	101325.019	0.0651453229	0	0	0	410.502	0	0	3
18	10	0	0.260236575	101325.017	101325.007	101324.941	101325.019	0.0657494603	0	0	0	374.409	0	0	3
19	11	0	0.274694162	101325.015	101325.008	101324.941	101325.019	0.066183968	0	0	0	372.377	0	0	3
20	11	0	0.28915175	101325.014	101325.008	101324.941	101325.019	0.0664828551	0	0	0	364.301	0	0	3
21	12	0	0.303609337	101325.009	101325.008	101324.941	101325.019	0.0665234494	0	0	0	355.353	0	0	3
22	12	0	0.318066925	101325	101325.008	101324.941	101325.019	0.0665234494	0	0	0	345.855	0	0	3
23	13	0	0.332524512	101324.992	101325.007	101324.941	101325.019	0.0665234494	0	0	0	333.636	0	0	3
24	13	0	0.3469821	101324.982	101325.006	101324.941	101325.019	0.0665234494	0	0	0	321.311	0	0	3
25	14	0	0.361439687	101324.973	101325.005	101324.941	101325.019	0.0665234494	0	0	0	308.541	0	0	3
26	15	0	0.375897275	101324.962	101325.003	101324.941	101325.019	0.0665234494	0	0	0	303.269	0	0	3
27	15	0	0.390354862	101324.95	101325.001	101324.941	101325.019	0.0665234494	0	0	0	300.316	0	0	3
28	16	0	0.40481245	101324.94	101324.999	101324.94	101325.019	0.0665234494	0	0	0	295.468	0	0	3
29	16	0	0.419270037	101324.932	101324.997	101324.932	101325.019	0.0665234494	0	0	0	292.471	0	0	3
30	17	0	0.433727625	101324.926	101324.994	101324.926	101325.019	0.0665234494	0	0	0	288.802	0	0	3
31	17	0	0.448185212	101324.92	101324.992	101324.92	101325.019	0.0665234494	0	0	0	286.875	0	0	3
32	18	0	0.4626428	101324.911	101324.989	101324.911	101325.019	0.0665234494	0	0	0	284.064	0	0	3
33	18	0	0.477100387	101324.904	101324.987	101324.904	101325.019	0.0665234494	0	0	0	281.766	0	0	3
34	19	0	0.491557975	101324.898	101324.984	101324.898	101325.019	0.0665234494	0	0	0	278.565	0	0	3
35	19	0	0.506015562	101324.892	101324.981	101324.892	101325.019	0.0665234494	0	0	0	276.05	0	0	3
36	20	0	0.52047315	101324.885	101324.98	101324.885	101325.019	0.0493458796	0	0	0	273.99	0	0	3
37	20	0	0.534930737	101324.876	101324.977	101324.876	101325.019	0.0372768918	0	0	0	272.386	0	0	3
38	21	0	0.549388325	101324.866	101324.973	101324.866	101325.019	0.034748205	0	0	0	271.896	0	0	3
39	21	0	0.563845912	101324.857	101324.969	101324.857	101325.019	0.0388512042	0	0	0	271.598	0	0	3
40	22	0	0.5783035	101324.849	101324.965	101324.849	101325.019	0.0433188008	0	0	0	271.245	0	0	3
41	23	0	0.592761087	101324.844	101324.96	101324.844	101325.019	0.0479695603	0	0	0	270.866	0	0	3
42	23	0	0.607218675	101324.837	101324.955	101324.837	101325.019	0.0530267883	0	0	0	270.656	0	0	3
43	24	0	0.621676262	101324.829	101324.95	101324.829	101325.019	0.0583356837	0	0	0	270.423	0	0	3
44	24	0	0.63613385	101324.821	101324.944	101324.821	101325.019	0.0639631263	0	0	0	270.493	0	0	3
45	25	0	0.650591437	101324.814	101324.938	101324.814	101325.019	0.0697281094	0	0	0	270.534	0	0	3
46	25	0	0.665049025	101324.809	101324.932	101324.809	101325.019	0.0757025226	0	0	0	270.732	0	0	3
47	26	0	0.679506612	101324.806	101324.926	101324.806	101325.019	0.0817200963	0	0	0	270.797	0	0	3
48	26	0	0.6939642	101324.805	101324.92	101324.805	101325.019	0.0877957592	0	0	0	270.618	0	0	3
49	27	0	0.708421787	101324.805	101324.914	101324.805	101325.019	0.0938551478	0	0	0	270.265	0	0	3
50	27	0	0.722879375	101324.804	101324.908	101324.804	101325.019	0.099977016	0	0	0	269.676	0	0	3
51	28	0	0.737336962	101324.802	101324.902	101324.802	101325.019	0.106188263	0	0	0	268.857	0	0	3
52	29	0	0.75179455	101324.799	101324.896	101324.799	101325.017	0.112477713	0	0	0	268.058	0	0	3
53	29	0	0.766252137	101324.795	101324.889	101324.795	101325.015	0.118821519	0	0	0	267.564	0	0	3
