Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0144575875	293.2	293.2	293.2	293.2	0	0	0	0	5.14103e-05	0	0	3
2	3	0	0.028915175	293.2	293.2	293.2	293.2	5.23300514e-10	0	0	0	5.92621e-05	0	0	3
3	3	0	0.0433727625	293.2	293.2	293.2	293.2	1.11253939e-09	0	0	0	6.8742e-05	0	0	3
4	4	0	0.05783035	293.2	293.2	293.2	293.2	1.67347025e-09	0	0	0	7.36704e-05	0	0	3
5	4	0	0.0722879375	293.2	293.2	293.2	293.2	2.25730901e-09	0	0	0	7.3308e-05	0	0	3
6	5	0	0.086745525	293.2	293.2	293.2	293.2	3.00389047e-09	0	0	0	7.35903e-05	0	0	3
7	5	0	0.101203112	293.2	293.2	293.2	293.2	3.94027211e-09	0	0	0	7.28611e-05	0	0	3
8	6	0	0.1156607	293.2	293.2	293.2	293.2	5.02529929e-09	0	0	0	7.43938e-05	0	0	3
9	6	0	0.130118287	293.2	293.2	293.2	293.2	6.22196694e-09	0	0	0	7.51932e-05	0	0	3
10	7	0	0.144575875	293.2	293.2	293.2	293.2	7.49963647e-09	0	0	0	7.60118e-05	0	0	3
11	7	0	0.159033462	293.2	293.2	293.2	293.2	8.99024144e-09	0	0	0	7.58432e-05	0	0	3
12	8	0	0.17349105	293.2	293.2	293.2	293.2	1.07330038e-08	0	0	0	6.49662e-05	0	0	3
13	8	0	0.187948637	293.2	293.2	293.2	293.2	1.26688633e-08	0	0	0	6.30223e-05	0	0	3
14	9	0	0.202406225	293.2	293.2	293.2	293.2	1.48029926e-08	0	0	0	7.86354e-05	0	0	3
15	9	0	0.216863812	293.2	293.2	293.2	293.2	1.70834369e-08	0	0	0	9.13488e-05	0	0	3
16	9	0	0.2313214	293.2	293.2	293.2	293.2	1.97065333e-08	0	0	0	0.00010122	0	0	3
17	10	0	0.245778987	293.2	293.2	293.2	293.2	2.26327188e-08	0	0	0	0.000107022	0	0	3
18	10	0	0.260236575	293.2	293.2	293.2	293.2	2.58150976e-08	0	0	0	0.000114415	0	0	3
19	11	0	0.274694162	293.2	293.2	293.2	293.2	2.91997253e-08	0	0	0	0.000118958	0	0	3
20	11	0	0.28915175	293.2	293.2	293.2	293.2	3.27251541e-08	0	0	0	0.000121104	0	0	3
21	12	0	0.303609337	293.2	293.2	293.2	293.2	3.65412802e-08	0	0	0	0.00012035	0	0	3
22	12	0	0.318066925	293.2	293.2	293.2	293.2	4.05628384e-08	0	0	0	0.000114555	0	0	3
23	13	0	0.332524512	293.2	293.2	293.2	293.2	4.46949571e-08	0	0	0	0.000109855	0	0	3
24	13	0	0.3469821	293.2	293.2	293.2	293.2	4.89195031e-08	0	0	0	0.000104426	0	0	3
25	14	0	0.361439687	293.2	293.2	293.2	293.2	5.32337481e-08	0	0	0	9.94498e-05	0	0	3
26	15	0	0.375897275	293.2	293.2	293.2	293.2	5.78935442e-08	0	0	0	9.21948e-05	0	0	3
27	15	0	0.390354862	293.2	293.2	293.2	293.2	6.29228225e-08	0	0	0	8.72863e-05	0	0	3
28	16	0	0.40481245	293.2	293.2	293.2	293.2	6.82677523e-08	0	0	0	8.29521e-05	0	0	3
29	16	0	0.419270037	293.2	293.2	293.2	293.2	7.38231734e-08	0	0	0	7.91012e-05	0	0	3
30	17	0	0.433727625	293.2	293.2	293.2	293.2	7.9483641e-08	0	0	0	7.91035e-05	0	0	3
31	17	0	0.448185212	293.2	293.2	293.2	293.2	8.52907647e-08	0	0	0	7.68619e-05	0	0	3
32	18	0	0.4626428	293.2	293.2	293.2	293.2	9.11435905e-08	0	0	0	7.66844e-05	0	0	3
33	18	0	0.477100387	293.2	293.2	293.2	293.2	9.69791358e-08	0	0	0	7.5322e-05	0	0	3
34	19	0	0.491557975	293.2	293.2	293.2	293.2	1.02767672e-07	0	0	0	7.51637e-05	0	0	3
35	19	0	0.506015562	293.2	293.2	293.2	293.2	1.08502149e-07	0	0	0	7.42066e-05	0	0	3
36	20	0	0.52047315	293.2	293.2	293.2	293.2	1.17015418e-07	0	0	0	7.3631e-05	0	0	3
37	20	0	0.534930737	293.2	293.2	293.2	293.2	1.25784481e-07	0	0	0	7.31574e-05	0	0	3
38	21	0	0.549388325	293.2	293.2	293.2	293.2	1.34866639e-07	0	0	0	7.39032e-05	0	0	3
39	21	0	0.563845912	293.2	293.2	293.2	293.2	1.44183389e-07	0	0	0	7.36642e-05	0	0	3
40	22	0	0.5783035	293.2	293.2	293.2	293.2	1.53559427e-07	0	0	0	7.34899e-05	0	0	3
41	23	0	0.592761087	293.2	293.2	293.2	293.2	1.62970878e-07	0	0	0	7.30272e-05	0	0	3
42	23	0	0.607218675	293.2	293.2	293.2	293.2	1.72421494e-07	0	0	0	7.36777e-05	0	0	3
43	24	0	0.621676262	293.2	293.2	293.2	293.2	1.81915425e-07	0	0	0	7.30121e-05	0	0	3
44	24	0	0.63613385	293.2	293.2	293.2	293.2	1.91447043e-07	0	0	0	7.27816e-05	0	0	3
45	25	0	0.650591437	293.2	293.2	293.2	293.2	2.00853037e-07	0	0	0	7.19624e-05	0	0	3
46	25	0	0.665049025	293.2	293.2	293.2	293.2	2.10023586e-07	0	0	0	7.27672e-05	0	0	3
47	26	0	0.679506612	293.2	293.2	293.2	293.2	2.18951186e-07	0	0	0	7.14871e-05	0	0	3
48	26	0	0.6939642	293.2	293.2	293.2	293.2	2.27616226e-07	0	0	0	7.21224e-05	0	0	3
49	27	0	0.708421787	293.2	293.2	293.2	293.2	2.36040876e-07	0	0	0	7.21498e-05	0	0	3
50	27	0	0.722879375	293.2	293.2	293.2	293.2	2.44034652e-07	0	0	0	7.24025e-05	0	0	3
51	28	0	0.737336962	293.2	293.2	293.2	293.2	2.51523488e-07	0	0	0	7.22977e-05	0	0	3
52	29	0	0.75179455	293.2	293.2	293.2	293.2	2.58532168e-07	0	0	0	7.19544e-05	0	0	3
53	29	0	0.766252137	293.2	293.2	293.2	293.2	2.65089113e-07	0	0	0	7.11776e-05	0	0	3
54	30	0	0.780709725	293.2	293.2	293.2	293.2	2.71241447e-07	0	0	0	7.18362e-05	0	0	3
55	30	0	0.795167312	293.2	293.2	293.2	293.2	2.76826938e-07	0	0	0	7.15594e-05	0	0	3
56	31	0	0.8096249	293.2	293.2	293.2	293.2	2.81805796e-07	0	0	0	7.21343e-05	0	0	3
57	32	0	0.824082487	293.2	293.2	293.2	293.2	2.86280681e-07	0	0	0	7.14927e-05	0	0	3
