Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0145317411
2	2	0	0.0290634823
3	3	0	0.0435952234
4	3	0	0.0581269645
5	4	0	0.0726587057
6	4	0	0.0871904468
7	4	0	0.101722188
8	5	0	0.116253929
9	5	0	0.13078567
10	6	0	0.145317411
11	6	0	0.159849152
12	7	0	0.174380894
13	8	0	0.188912635
14	8	0	0.203444376
15	9	0	0.217976117
16	9	0	0.232507858
17	9	0	0.247039599
18	10	0	0.26157134
19	11	0	0.276103082
20	11	0	0.290634823
21	11	0	0.305166564
22	12	0	0.319698305
23	13	0	0.334230046
24	13	0	0.348761787
25	14	0	0.363293528
26	14	0	0.37782527
27	15	0	0.392357011
28	15	0	0.406888752
29	16	0	0.421420493
30	16	0	0.435952234
31	17	0	0.450483975
32	17	0	0.465015716
33	18	0	0.479547457
34	18	0	0.494079199
35	19	0	0.50861094
36	19	0	0.523142681
37	20	0	0.537674422
38	20	0	0.552206163
39	21	0	0.566737904
40	21	0	0.581269645
41	22	0	0.595801387
42	23	0	0.610333128
43	23	0	0.624864869
44	23	0	0.63939661
45	24	0	0.653928351
46	24	0	0.668460092
47	25	0	0.682991833
48	25	0	0.697523575
49	26	0	0.712055316
50	26	0	0.726587057
51	26	0	0.741118798
52	27	0	0.755650539
53	27	0	0.77018228
54	28	0	0.784714021
55	28	0	0.799245762
56	28	0	0.813777504
57	29	0	0.828309245
58	29	0	0.842840986
59	29	0	0.857372727
60	30	0	0.871904468
61	30	0	0.886436209
62	31	0	0.90096795
63	31	0	0.915499692
64	31	0	0.930031433
65	32	0	0.944563174
66	32	0	0.959094915
67	33	0	0.973626656
68	33	0	0.988158397
69	33	0	1.00269014
70	34	0	1.01722188
71	34	0	1.03175362
72	35	0	1.04628536
73	35	0	1.0608171
74	35	0	1.07534884
75	36	0	1.08988059
76	36	0	1.10441233
