Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
57	33	0	0.790853869	101324.849	101324.89	101324.849	101324.968	0.106129343	0	0	0	228.874	0	0	3
58	33	0	0.804728499	101324.844	101324.887	101324.844	101324.962	0.107918751	0	0	0	228.222	0	0	3
59	34	0	0.818603128	101324.84	101324.884	101324.84	101324.956	0.109551617	0	0	0	227.494	0	0	3
60	34	0	0.832477757	101324.836	101324.88	101324.836	101324.951	0.111051672	0	0	0	226.907	0	0	3
61	35	0	0.846352387	101324.833	101324.877	101324.833	101324.946	0.112419543	0	0	0	226.234	0	0	3
62	35	0	0.860227016	101324.831	101324.874	101324.831	101324.94	0.109096639	0	0	0	225.729	0	0	3
63	35	0	0.874101645	101324.83	101324.871	101324.83	101324.932	0.102392751	0	0	0	225.119	0	0	3
64	36	0	0.887976275	101324.83	101324.868	101324.83	101324.925	0.0954575663	0	0	0	224.71	0	0	3
65	36	0	0.901850904	101324.83	101324.866	101324.83	101324.919	0.0891767643	0	0	0	224.065	0	0	3
66	37	0	0.915725533	101324.832	101324.863	101324.83	101324.913	0.0837919505	0	0	0	223.68	0	0	3
67	37	0	0.929600162	101324.836	101324.861	101324.83	101324.909	0.0792331959	0	0	0	223.065	0	0	3
68	38	0	0.943474792	101324.84	101324.859	101324.83	101324.902	0.0722961101	0	0	0	222.693	0	0	3
69	39	0	0.957349421	101324.846	101324.858	101324.83	101324.894	0.0644218097	0	0	0	222.104	0	0	3
70	39	0	0.97122405	101324.852	101324.857	101324.83	101324.887	0.0569686726	0	0	0	221.874	0	0	3
71	40	0	0.98509868	101324.857	101324.856	101324.83	101324.886	0.0566392758	0	0	0	221.33	0	0	3
72	40	0	0.998973309	101324.861	101324.856	101324.83	101324.886	0.0566392758	0	0	0	220.898	0	0	3
73	41	0	1.01284794	101324.863	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	220.317	0	0	3
74	41	0	1.02672257	101324.863	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	219.902	0	0	3
75	42	0	1.0405972	101324.862	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	219.342	0	0	3
76	42	0	1.05447183	101324.859	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	218.985	0	0	3
77	43	0	1.06834646	101324.856	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	218.406	0	0	3
78	44	0	1.08222108	101324.854	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	217.802	0	0	3
79	45	0	1.09609571	101324.853	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	217.107	0	0	3
80	45	0	1.10997034	101324.853	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	216.583	0	0	3
81	46	0	1.12384497	101324.853	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	215.81	0	0	3
82	47	0	1.1377196	101324.854	101324.855	101324.83	101324.886	0.0566392758	0.00534101172	0	0	215.349	0	0	3
