Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0138746293	293.2	293.2	293.2	293.2	0	0	0	0	7.30891e-06	0	0	3
2	3	0	0.0277492586	293.2	293.2	293.2	293.2	2.81374923e-10	0	0	0	9.18777e-06	0	0	3
3	3	0	0.0416238879	293.2	293.2	293.2	293.2	5.51381163e-10	0	0	0	1.23822e-05	0	0	3
4	4	0	0.0554985172	293.2	293.2	293.2	293.2	8.14225132e-10	0	0	0	1.49545e-05	0	0	3
5	4	0	0.0693731464	293.2	293.2	293.2	293.2	1.07621645e-09	0	0	0	1.58503e-05	0	0	3
6	4	0	0.0832477757	293.2	293.2	293.2	293.2	1.40323664e-09	0	0	0	1.89264e-05	0	0	3
7	5	0	0.097122405	293.2	293.2	293.2	293.2	1.80028792e-09	0	0	0	2.3786e-05	0	0	3
8	5	0	0.110997034	293.2	293.2	293.2	293.2	2.24071073e-09	0	0	0	2.75768e-05	0	0	3
9	5	0	0.124871664	293.2	293.2	293.2	293.2	2.7047804e-09	0	0	0	3.04172e-05	0	0	3
10	6	0	0.138746293	293.2	293.2	293.2	293.2	3.1759555e-09	0	0	0	3.21376e-05	0	0	3
11	7	0	0.152620922	293.2	293.2	293.2	293.2	3.68726205e-09	0	0	0	3.35532e-05	0	0	3
12	7	0	0.166495551	293.2	293.2	293.2	293.2	4.29270131e-09	0	0	0	3.88994e-05	0	0	3
13	7	0	0.180370181	293.2	293.2	293.2	293.2	4.956064e-09	0	0	0	4.46524e-05	0	0	3
14	8	0	0.19424481	293.2	293.2	293.2	293.2	5.68735459e-09	0	0	0	5.11775e-05	0	0	3
15	8	0	0.208119439	293.2	293.2	293.2	293.2	6.46190301e-09	0	0	0	5.41195e-05	0	0	3
16	9	0	0.221994069	293.2	293.2	293.2	293.2	7.33029992e-09	0	0	0	5.54216e-05	0	0	3
17	9	0	0.235868698	293.2	293.2	293.2	293.2	8.27191116e-09	0	0	0	5.53441e-05	0	0	3
18	10	0	0.249743327	293.2	293.2	293.2	293.2	9.25416543e-09	0	0	0	5.49293e-05	0	0	3
19	10	0	0.263617956	293.2	293.2	293.2	293.2	1.02484705e-08	0	0	0	5.49865e-05	0	0	3
20	11	0	0.277492586	293.2	293.2	293.2	293.2	1.12365797e-08	0	0	0	5.50721e-05	0	0	3
21	12	0	0.291367215	293.2	293.2	293.2	293.2	1.22470283e-08	0	0	0	5.44823e-05	0	0	3
22	12	0	0.305241844	293.2	293.2	293.2	293.2	1.33147182e-08	0	0	0	5.43482e-05	0	0	3
23	13	0	0.319116474	293.2	293.2	293.2	293.2	1.44634669e-08	0	0	0	5.35017e-05	0	0	3
24	14	0	0.332991103	293.2	293.2	293.2	293.2	1.57083946e-08	0	0	0	5.31866e-05	0	0	3
25	14	0	0.346865732	293.2	293.2	293.2	293.2	1.70590511e-08	0	0	0	5.24026e-05	0	0	3
26	15	0	0.360740362	293.2	293.2	293.2	293.2	1.85694375e-08	0	0	0	5.215e-05	0	0	3
27	15	0	0.374614991	293.2	293.2	293.2	293.2	2.02022079e-08	0	0	0	5.16021e-05	0	0	3
28	16	0	0.38848962	293.2	293.2	293.2	293.2	2.18938112e-08	0	0	0	5.11537e-05	0	0	3
29	16	0	0.402364249	293.2	293.2	293.2	293.2	2.35922926e-08	0	0	0	5.05958e-05	0	0	3
30	17	0	0.416238879	293.2	293.2	293.2	293.2	2.52692303e-08	0	0	0	5.02642e-05	0	0	3
31	18	0	0.430113508	293.2	293.2	293.2	293.2	2.69309339e-08	0	0	0	5.04311e-05	0	0	3
32	18	0	0.443988137	293.2	293.2	293.2	293.2	2.85948545e-08	0	0	0	4.93008e-05	0	0	3
33	19	0	0.457862767	293.2	293.2	293.2	293.2	3.02630951e-08	0	0	0	4.92278e-05	0	0	3
34	20	0	0.471737396	293.2	293.2	293.2	293.2	3.19310516e-08	0	0	0	4.95938e-05	0	0	3
35	20	0	0.485612025	293.2	293.2	293.2	293.2	3.35931531e-08	0	0	0	4.93805e-05	0	0	3
36	21	0	0.499486654	293.2	293.2	293.2	293.2	3.5257699e-08	0	0	0	4.91355e-05	0	0	3
37	22	0	0.513361284	293.2	293.2	293.2	293.2	3.69233248e-08	0	0	0	4.98596e-05	0	0	3
38	22	0	0.527235913	293.2	293.2	293.2	293.2	3.93545747e-08	0	0	0	4.94911e-05	0	0	3
39	23	0	0.541110542	293.2	293.2	293.2	293.2	4.18625064e-08	0	0	0	5.06352e-05	0	0	3
40	24	0	0.554985172	293.2	293.2	293.2	293.2	4.44345005e-08	0	0	0	5.05968e-05	0	0	3
41	24	0	0.568859801	293.2	293.2	293.2	293.2	4.70594728e-08	0	0	0	5.09385e-05	0	0	3
42	25	0	0.58273443	293.2	293.2	293.2	293.2	4.96705752e-08	0	0	0	5.11746e-05	0	0	3
43	25	0	0.596609059	293.2	293.2	293.2	293.2	5.22448431e-08	0	0	0	5.11754e-05	0	0	3
44	26	0	0.610483689	293.2	293.2	293.2	293.2	5.4794441e-08	0	0	0	5.08893e-05	0	0	3
45	27	0	0.624358318	293.2	293.2	293.2	293.2	5.73202215e-08	0	0	0	5.10164e-05	0	0	3
46	27	0	0.638232947	293.2	293.2	293.2	293.2	5.98366796e-08	0	0	0	5.0633e-05	0	0	3
47	28	0	0.652107577	293.2	293.2	293.2	293.2	6.23010123e-08	0	0	0	5.07412e-05	0	0	3
48	29	0	0.665982206	293.2	293.2	293.2	293.2	6.46476224e-08	0	0	0	5.03401e-05	0	0	3
49	29	0	0.679856835	293.2	293.2	293.2	293.2	6.68741791e-08	0	0	0	5.03706e-05	0	0	3
50	30	0	0.693731464	293.2	293.2	293.2	293.2	6.89698822e-08	0	0	0	5.00564e-05	0	0	3
51	30	0	0.707606094	293.2	293.2	293.2	293.2	7.09492838e-08	0	0	0	4.99217e-05	0	0	3
52	31	0	0.721480723	293.2	293.2	293.2	293.2	7.27713427e-08	0	0	0	4.97625e-05	0	0	3
53	31	0	0.735355352	293.2	293.2	293.2	293.2	7.44264526e-08	0	0	0	4.95664e-05	0	0	3
54	32	0	0.749229982	293.2	293.2	293.2	293.2	7.59499699e-08	0	0	0	4.94216e-05	0	0	3
